asset,kit,waar_label,alt_label,sport,repeat,ok,model,label,confidence,attributes,polycount_impression,surface_finish,latency_ms,prompt_tokens,beeld_tokens,output_tokens,ruw
B5_dishrack,KayKit_Restaurant_Bits,stylised PBR,toon-cel,256,3,1,claude-opus-5,low-poly flat-shaded,0.72,flat-shaded | faceted edges | matte diffuse | untextured solids | chunky primitives,low,"matte, untextured, slight soft shading",6662,25955,99,109,"{""style_label"": ""low-poly flat-shaded"", ""confidence"": 0.72, ""attributes"": [""flat-shaded"", ""faceted edges"", ""matte diffuse"", ""untextured solids"", ""chunky primitives""], ""polycount_impression"": ""low"", ""surface_finish"": ""matte, untextured, slight soft shading""}"
B4_crate,KayKit_Restaurant_Bits,stylised PBR,toon-cel,192,2,1,claude-opus-5,low-poly flat-shaded,0.82,flat-shaded | hard-edged facets | limited palette | isometric view | no texture detail,low,"matte, untextured flat vertex colors",6685,25904,48,99,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.82,""attributes"":[""flat-shaded"",""hard-edged facets"",""limited palette"",""isometric view"",""no texture detail""],""polycount_impression"":""low"",""surface_finish"":""matte, untextured flat vertex colors""}"
B5_dishrack,KayKit_Restaurant_Bits,stylised PBR,toon-cel,192,3,1,claude-opus-5,low-poly flat-shaded,0.72,flat matte shading | simple geometry | muted palette | soft ambient occlusion | clean silhouette,low,"matte, untextured, slightly soft diffuse",7013,25904,48,106,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.72,""attributes"":[""flat matte shading"",""simple geometry"",""muted palette"",""soft ambient occlusion"",""clean silhouette""],""polycount_impression"":""low"",""surface_finish"":""matte, untextured, slightly soft diffuse""}"
B1_table,KayKit_Dungeon_Pack,stylised PBR,toon-cel,384,2,1,claude-opus-5,low-poly flat-shaded,0.93,faceted geometry | flat matte shading | muted earth palette | soft ambient occlusion | simplified silhouettes,low,matte untextured vertex-colored facets,8637,26051,195,108,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.93,""attributes"":[""faceted geometry"",""flat matte shading"",""muted earth palette"",""soft ambient occlusion"",""simplified silhouettes""],""polycount_impression"":""low"",""surface_finish"":""matte untextured vertex-colored facets""}"
A5_cart,Modular Village,low-poly flat-shaded,,768,3,1,claude-opus-5,low-poly flat-shaded,0.93,flat-shaded facets | muted beige palette | isometric render | hard edge lighting | minimal detail,low,"matte untextured flat diffuse, no specular",5742,26639,783,105,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.93,""attributes"":[""flat-shaded facets"",""muted beige palette"",""isometric render"",""hard edge lighting"",""minimal detail""],""polycount_impression"":""low"",""surface_finish"":""matte untextured flat diffuse, no specular""}"
A5_cart,Modular Village,low-poly flat-shaded,,192,3,1,claude-opus-5,low-poly flat-shaded,0.72,untextured | monochrome clay | faceted planks | matte diffuse | chunky geometry,low,"matte untextured clay, soft flat shading",6112,25904,48,119,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.72,   ""attributes"": [""untextured"", ""monochrome clay"", ""faceted planks"", ""matte diffuse"", ""chunky geometry""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte untextured clay, soft flat shading"" }"
C2_cauldron,FantasyProps_glTF_1k,painterly-texture,,512,3,1,claude-opus-5,low-poly flat-shaded,0.72,faceted silhouette | untextured grey | soft ambient shading | minimal detail | game-ready prop,low,"matte untextured clay-grey, faint smudges",5344,26216,360,106,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.72,""attributes"":[""faceted silhouette"",""untextured grey"",""soft ambient shading"",""minimal detail"",""game-ready prop""],""polycount_impression"":""low"",""surface_finish"":""matte untextured clay-grey, faint smudges""}"
B2_armchair,KayKit_Furniture_Bits,stylised PBR,toon-cel,1568,1,1,claude-opus-5,stylised PBR,0.82,soft-rounded edges | smooth matte shading | bevelled silhouette | saturated flat colors | clay-like render,medium,"smooth matte clay, soft diffuse highlights",6689,28991,3135,117,"{""style_label"": ""stylised PBR"", ""confidence"": 0.82, ""attributes"": [""soft-rounded edges"", ""smooth matte shading"", ""bevelled silhouette"", ""saturated flat colors"", ""clay-like render""], ""polycount_impression"": ""medium"", ""surface_finish"": ""smooth matte clay, soft diffuse highlights""}"
B4_crate,KayKit_Restaurant_Bits,stylised PBR,toon-cel,768,2,1,claude-opus-5,low-poly flat-shaded,0.82,faceted-geometry | flat-gradient-shading | hard-edged-planes | saturated-palette | no-texture-detail,low,matte untextured flat-shaded facets,6788,26639,783,110,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.82,""attributes"":[""faceted-geometry"",""flat-gradient-shading"",""hard-edged-planes"",""saturated-palette"",""no-texture-detail""],""polycount_impression"":""low"",""surface_finish"":""matte untextured flat-shaded facets""}"
B2_armchair,KayKit_Furniture_Bits,stylised PBR,toon-cel,192,1,1,claude-opus-5,stylised PBR,0.72,soft rounded edges | matte orange plastic | chunky proportions | subtle ambient occlusion | clean studio lighting,medium,"smooth matte, slightly soft plastic sheen",7498,25904,48,130,"{   ""style_label"": ""stylised PBR"",   ""confidence"": 0.72,   ""attributes"": [""soft rounded edges"", ""matte orange plastic"", ""chunky proportions"", ""subtle ambient occlusion"", ""clean studio lighting""],   ""polycount_impression"": ""medium"",   ""surface_finish"": ""smooth matte, slightly soft plastic sheen"" }"
A3_birch,Ultimate_Nature_Pack_by_Quaternius,low-poly flat-shaded,,512,1,1,claude-opus-5,low-poly flat-shaded,0.93,faceted-canopy | flat-shading | muted-green | angular-silhouette | stylised-foliage,low,"matte untextured flat facets, no specular",5951,26216,360,103,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.93,""attributes"":[""faceted-canopy"",""flat-shading"",""muted-green"",""angular-silhouette"",""stylised-foliage""],""polycount_impression"":""low"",""surface_finish"":""matte untextured flat facets, no specular""}"
